Strain (um/um),UnIR_0deg_5nmps_tst2,UnIR_0deg_5nmps_tst3,UnIR_0deg_500nmps_tst1,UnIR_0deg_500nmps_tst2,,1278.85794,2653.4984
0,185.1855303,139.342135,190.9560048,218.2507657,,,
0.002,188.3840892,146.1302315,194.4685639,219.7489262,,,
0.004,191.4780091,152.9283007,197.8693857,224.0186835,,,
0.006,194.2099348,159.9756878,201.1613355,225.3389373,,,
0.008,196.8259091,166.0258032,204.5105863,227.7422365,,,
0.01,197.9741097,171.5307433,207.6334977,230.098718,,,
0.012,190.2647627,176.8894169,210.6532671,231.0381894,,,
0.014,191.2828716,181.8624788,217.0939137,230.2610187,,,
0.016,193.8592528,186.423335,218.176905,229.7148144,,,
0.018,194.5181955,190.3725312,217.5723781,229.6960874,,,
0.02,196.7948002,194.288485,213.4008561,230.9351909,,,
0.022,197.0351871,197.7190998,212.9997482,233.3603382,,,
0.024,197.595147,197.5595363,214.9479865,234.3216577,,,
0.026,198.9300009,195.9639015,216.2401269,236.2162065,,,
0.028,200.3553534,200.0826339,217.8359633,237.1525567,,,
0.03,201.6675827,203.1309613,219.0851279,238.8910471,,,
0.032,203.8056114,205.4246863,221.3743079,238.8411085,,,
0.034,205.5363966,207.8048416,223.7780902,240.1301507,,,
0.036,207.4764598,210.1251606,226.1704122,241.981003,,,
0.038,208.7660644,210.4974753,228.3851007,242.1620308,,,
0.04,210.4855373,212.1961616,229.5196631,239.5340077,,,
0.042,212.3746949,214.2771353,231.2415619,236.8997422,,,
0.044,213.3730073,216.0389821,232.8087477,236.9434386,,,
0.046,215.0019816,216.9232297,233.4934962,239.056469,,,
0.048,216.8260934,217.3254627,234.095158,242.0964862,,,
0.05,218.1637755,213.8217146,234.4446949,242.6364483,,,
0.052,219.9228414,218.2861678,236.533321,240.8355346,,,
0.054,213.5144113,218.9011521,237.0748166,242.0683958,,,
0.056,214.0715432,220.7992927,236.1064276,243.8693095,,,
0.058,216.3226951,213.4959391,237.6478279,245.4611049,,,
0.06,218.4126465,213.9314145,238.7795251,247.0248099,,,
0.062,220.3668501,217.8207743,240.4985589,246.9374172,,,
0.064,222.4652857,217.8340713,240.859556,247.9736448,,,
0.066,224.1168846,221.2713346,240.1375618,248.3138522,,,
0.068,225.0784319,221.9095886,238.5474556,247.620953,,,
0.07,225.2877099,221.9661006,238.3870124,246.4973326,,,
0.072,222.0665264,222.1422853,239.6963432,247.5335602,,,
0.074,223.6332829,225.1174794,240.1576172,250.1210082,,,
0.076,225.1095408,225.4332821,241.1546568,251.6784707,,,
0.078,222.3663029,217.5880776,241.7821042,252.6897291,,,
0.08,219.1168385,214.4101049,242.2748939,253.7696531,,,
0.082,211.4866777,216.830151,244.4895824,254.2097377,,,
0.084,210.1744484,221.0186925,245.180061,253.8913786,,,
0.086,211.249119,213.1635152,242.8565003,252.6990926,,,
0.088,213.0534342,207.4956873,238.2208391,255.3458427,,,
0.09,214.8464372,201.5486234,240.3810916,256.0075302,,,
0.092,217.1513227,202.8616979,243.2346877,256.4476148,,,
0.094,218.463552,204.4573327,245.7072314,256.9750922,,,
0.096,215.6354716,207.9511081,246.6211843,258.2828614,,,
0.098,210.298884,203.5431669,248.4003843,259.113092,,,
0.1,208.0788409,205.5709528,248.4605505,259.0631534,,,
0.102,210.0245602,206.3820672,247.4606458,255.3021464,,,
0.104,210.4798811,207.0801574,246.9220152,254.6092472,,,
0.106,212.3266176,208.4297986,248.2514014,255.9170164,,,
0.108,214.1083082,211.4947471,249.45186,257.1467564,,,
0.11,214.7842194,212.6815005,251.5777318,254.9806661,,,
0.112,214.6484716,215.3043252,252.2080442,254.8995157,,,
0.114,218.3504288,218.2296558,253.4142329,256.3508587,,,
0.116,217.7395634,220.5034354,254.0502754,258.5887359,,,
0.118,218.675658,209.061404,254.7235636,259.6624175,,,
0.12,220.7910621,207.073509,255.0358548,261.4321195,,,
0.122,221.6903917,206.4086611,255.7950947,262.296683,,,
0.124,221.1587126,206.2690431,252.2882658,263.5607559,,,
0.126,222.0354175,208.9118132,252.2882658,263.6294215,,,
0.128,222.0636983,200.5779455,249.3114722,261.9908086,,,
0.13,211.3763826,190.9941639,248.0623077,262.1999268,,,
0.132,209.7841733,189.8340044,248.0623077,263.2642449,,,
0.134,209.6908467,192.6562835,242.0972604,263.2611238,,,
0.136,211.4244599,193.593719,239.487194,264.122566,,,
0.138,212.6886119,196.971146,238.9371032,266.0358418,,,
0.14,213.5426921,199.6471586,238.6248121,266.766195,,,
0.142,214.0178096,202.7885646,238.77093,267.1344928,,,
0.144,201.3366973,199.4011649,238.77093,267.4965482,,,
0.146,193.234247,191.0473517,239.5158446,267.7025452,,,
0.148,194.5775852,183.6210013,233.5020914,267.7025452,,,
0.15,196.5628976,182.7666718,232.9835162,263.4515149,,,
0.152,197.773316,183.8603465,233.4018144,262.7835852,,,
0.154,199.1675596,176.5270748,236.3069815,263.1487617,,,
0.156,197.5442415,171.6337947,237.5189003,265.165036,,,
0.158,183.3727308,172.9967328,235.3414575,266.0139936,,,
0.16,180.5559628,175.7492029,229.5769642,267.0439789,,,
0.162,182.1962494,179.2429783,227.8550653,267.8586036,,,
0.164,183.7234128,181.2009552,228.0126434,266.1606884,,,
0.166,186.3987768,179.1233057,228.7747484,266.1606884,,,
0.168,186.2149516,169.6591966,229.2016418,257.4245404,,,
0.17,186.6335075,163.7088084,230.1241899,252.9269379,,,
0.172,186.6108828,163.6389994,232.0437777,254.5717932,,,
0.174,172.57512,164.3171442,233.0551426,257.549387,,,
0.176,166.7125094,166.2983908,234.7741764,258.8852468,,,
0.178,165.9460996,165.9327245,234.8028269,259.4501781,,,
0.18,162.7079476,152.6989282,234.5363767,257.5181754,,,
0.182,154.4838899,151.9709198,235.2555058,257.5181754,,,
0.184,146.2117548,152.9116795,236.0061506,252.3245525,,,
0.186,148.5534054,146.9380216,236.2382202,252.4337934,,,
0.188,150.8554628,143.0586345,235.8113268,252.9612706,,,
0.19,152.0149757,142.8325862,236.7023593,250.8482403,,,
0.192,153.2960961,143.4708401,239.1319271,247.6896186,,,
0.194,150.9007121,143.2381434,240.0372849,246.6377851,,,
0.196,140.5244852,144.358412,237.5446859,247.3025938,,,
0.198,138.6240152,143.7700217,237.5446859,248.1733995,,,
0.2,140.0833047,142.0713354,225.8781765,250.0960389,,,
0.202,136.3785194,141.3599482,225.8781765,251.1291453,,,
0.204,127.741562,134.894303,217.105374,253.3420532,,,
0.206,121.3472722,135.2433481,215.8705347,255.6735653,,,
0.208,123.3693497,135.5458538,214.6242352,256.8221551,,,
0.21,119.7324384,134.4289095,212.7762738,259.0787591,,,
0.212,116.021997,131.3739336,212.1545566,260.0712905,,,
0.214,115.2866961,132.2282631,211.1517869,260.4083766,,,
0.216,115.1113551,130.7888675,209.6992033,260.4083766,,,
0.218,115.5723322,121.6438855,206.6078075,256.5037959,,,
0.22,116.0559339,119.6792601,203.5135467,252.9737554,,,
0.222,112.1644954,120.3108655,202.8316633,252.911332,,,
0.224,104.4240394,121.7835035,202.9921064,253.8508034,,,
0.226,105.6288016,120.9192013,202.6024588,255.7359887,,,
0.228,106.7063002,115.3610734,201.6713155,256.8440032,,,
0.23,107.6056298,113.6657114,198.4796427,259.2753927,,,
0.232,105.7758618,112.7448971,198.4796427,260.4333459,,,
