Strain (um/um),UnIR_45deg_5nmps_tst1,UnIR_45deg_5nmps_tst2,UnIR_45deg_500nmps_tst3,UnIR_45deg_500nmps_tst4
0,160.2270284,134.8036001,173.9674321,162.3102435
0.002,159.953088,138.5779035,176.3582218,164.3696798
0.004,157.4806005,141.5346174,178.038876,166.7353151
0.006,157.5438175,143.983862,178.0901636,169.6590232
0.008,155.454144,145.8304866,179.6879686,172.3407351
0.01,155.2609809,146.7996122,181.1989793,172.4642025
0.012,152.8517104,146.982865,180.8596923,175.2595044
0.014,151.1378269,147.7828341,182.5403464,173.7927117
0.016,149.3607265,148.2444902,182.9467018,173.4124321
0.018,147.8856629,147.8533159,182.6231956,172.7654629
0.02,148.1631153,148.0224724,184.2643978,174.0890335
0.022,146.1823156,146.6551244,184.5642328,177.4671015
0.024,144.6826676,145.9538299,184.1381514,170.5035402
0.026,143.5272011,145.8022939,184.2920142,171.2344672
0.028,142.5929942,145.1750054,184.1776034,176.0348797
0.03,142.333102,145.2666318,184.4537673,176.2620597
0.032,140.9353037,144.7521142,183.8856588,176.9781706
0.034,139.2530287,143.9873861,183.1439617,177.101638
0.036,137.9430318,143.2860916,183.7199605,173.7433247
0.038,136.7348844,142.6658513,183.4832487,174.4149874
0.04,135.5934662,142.5883212,182.7888939,175.8274544
0.042,134.3712706,142.1372373,182.6823735,177.4621628
0.044,134.7224762,141.9575086,181.932786,178.1881511
0.046,133.0366892,141.3231719,181.0017194,174.3260909
0.048,131.083986,141.1082022,180.1653375,174.8891022
0.05,130.0795379,139.4730231,177.9047393,175.1261596
0.052,130.0690017,139.3849208,176.2832631,173.0272138
0.054,127.9371836,138.8527828,174.3816779,173.1309264
0.056,127.1153625,138.7999214,175.2101693,165.8216564
0.058,125.963408,137.1083568,174.5947185,169.2738049
0.06,126.1214506,138.2677834,174.5118694,168.4144718
0.062,126.7852292,137.1400736,173.245461,170.5331723
0.064,124.337326,136.5973633,173.1192146,170.3504406
0.066,123.9545119,136.7524234,171.1545062,171.0072872
0.068,122.1387788,136.812333,169.2489758,169.0416862
0.07,123.8491502,136.1709481,168.8544561,170.0491801
0.072,122.3319419,135.9524544,168.0930329,168.6268357
0.074,122.3459901,135.6458583,167.0002132,168.6268357
0.076,121.899959,135.0185697,164.420054,168.6268357
0.078,120.1263706,134.9833288,162.763071,168.6268357
0.08,121.3520782,134.8529374,162.703893,167.9255409
0.082,121.0043847,135.2511599,162.9406049,167.8810926
0.084,121.3661265,133.7816132,160.4709112,167.4119165
0.086,119.7716529,133.3763425,158.928339,167.4217939
0.088,118.3492702,132.6644757,158.1116831,167.4217939
0.09,120.2211961,131.3676095,156.7426995,167.4217939
0.092,120.1895876,130.4865863,154.8687307,163.7819749
0.094,118.9603679,131.0152003,151.4758607,165.2191355
0.096,119.8945749,129.0099914,149.1955366,164.8388559
0.098,119.3642544,128.8020699,147.7634298,163.8609941
0.1,118.4054631,128.3545101,145.5028316,161.4509104
0.102,118.0858659,127.6003543,145.0215175,161.4509104
0.104,117.8540702,126.1202353,145.7947762,162.8090518
0.106,117.3448221,126.8708671,146.3194875,158.907482
0.108,114.3771346,126.2929158,146.248474,157.9740685
0.11,116.962008,126.1660485,145.2069418,158.7198115
0.112,116.4913924,126.3493013,143.912917,157.8851719
0.114,116.400079,123.3291537,140.5516087,158.2802676
0.116,117.0041526,125.8524042,140.4924307,158.1123519
0.118,116.4527598,124.5238212,140.8672245,158.1123519
0.12,116.5791938,124.2665624,140.0821302,156.3047892
0.122,116.5335371,124.4180984,139.6165968,152.6501542
0.124,115.8627344,123.7132799,138.4645992,153.8502573
0.126,115.83815,122.7159616,138.2318325,153.7860543
0.128,115.7082039,121.3979508,138.042463,155.0108509
0.13,114.5597615,122.6208111,136.4959456,154.1021308
0.132,116.530025,121.7926492,134.1209366,154.1021308
0.134,115.9189273,122.2437331,134.2353474,152.3143229
0.136,115.9680961,121.669306,134.1958954,152.279752
0.138,113.2954213,122.5996665,133.8447728,153.0995755
0.14,114.9952565,121.0561138,133.3831847,153.968786
0.142,115.2727089,119.1812964,133.588335,153.968786
0.144,114.7423884,118.8782244,132.4481729,151.4253576
0.146,113.9135432,119.8755427,131.911626,151.5982119
0.148,114.6580991,118.8747004,131.8840096,151.8550241
0.15,115.9259514,119.5795189,129.0040154,151.4056028
0.152,116.5335371,118.596297,128.8146459,150.3734153
0.154,116.7407484,118.0042494,129.5918498,149.2523313
0.156,114.1102183,116.7003351,129.7733289,148.6991974
0.158,112.8985589,117.8245207,129.7062605,148.6991974
0.16,114.0680736,118.0500626,129.7062605,145.943405
0.162,113.5096567,117.4474427,129.5642334,145.375455
0.164,115.2656848,115.9567515,127.7494426,146.0668724
0.166,113.9591999,116.3725944,127.8362369,146.1508303
0.168,114.7880452,116.1329561,127.8362369,145.9088342
0.17,115.3745586,114.0572654,126.3331166,145.4445967
0.172,114.8056054,115.0369632,126.3331166,144.6346506
0.174,115.3289018,115.216692,126.4278014,144.822321
0.176,114.5035686,114.0185004,124.8655031,144.0864553
0.178,114.4860083,113.736573,125.7176658,142.2443217
0.18,113.6712113,113.3700673,126.9564578,142.3924826
0.182,114.4403516,113.8317235,126.9170059,143.2765092
0.184,114.0364651,113.7682898,126.2897194,142.8616587
0.186,114.21558,112.4326586,125.6505974,142.1653026
0.188,114.4508878,110.5331726,124.6721884,140.9750769
0.19,114.4508878,111.65031,125.2047901,139.6465677
0.192,114.1628992,111.6291654,122.0723032,140.0861116
0.194,114.1628992,111.0935033,122.0999196,140.4268816
0.196,114.1628992,110.3710643,123.7766286,139.7453416
0.198,115.0479373,109.7120589,124.664298,139.9478281
0.2,113.5482893,110.8362445,123.3189857,139.7008933
0.202,111.4375435,110.2195283,123.6898342,138.7279702
0.204,113.6150184,111.0476901,124.0488472,138.6736445
0.206,113.2462525,108.9120898,124.7708184,138.4316484
0.208,114.2331403,107.7702838,125.043037,138.130388
0.21,113.5166808,108.6724515,125.6584878,137.0339975
0.212,112.8529022,110.0715164,125.3349816,136.441354
0.214,113.404295,109.5675711,125.2205709,134.6486073
0.216,113.2216681,105.0567323,125.9385969,134.8214617
0.218,113.0355291,107.1429952,124.6603529,136.22899
0.22,112.7334923,109.1164872,124.2145455,136.1450322
0.222,113.0390412,106.5756163,124.3881342,136.1796031
0.224,113.1022582,106.7412486,124.6209009,136.1055226
0.226,113.1022582,106.5192308,123.9581077,134.9992547
0.228,113.7519886,105.5642016,123.9581077,133.4238107
0.23,113.2462525,105.7545026,124.3999698,133.532462
0.232,113.467512,107.0725134,124.5183257,133.6855616
0.234,112.1820995,104.9474854,124.7471472,131.4631484
0.236,113.08821,106.3395021,124.0882992,130.885321
0.238,113.1198185,106.1174842,124.4078602,131.7594702
0.24,113.7484765,106.7588691,124.7550376,131.063114
0.242,112.1575151,106.3994116,125.5638031,130.3519418
0.244,113.5201929,106.1632974,126.1476923,130.5297349
0.246,113.9486637,106.9949833,126.3094454,130.9396466
0.248,114.1593871,106.0857674,125.7926246,130.6927118
0.25,113.6922836,103.2770654,125.7847342,130.6927118
0.252,113.650139,105.2576055,126.6368968,130.8951984
0.254,113.1022582,103.0233307,126.041172,129.6259535
0.256,113.966224,102.6920659,126.120076,130.0753748
0.258,112.9336795,103.2735413,126.1989799,130.4852866
0.26,114.3841587,105.2047442,124.9759687,130.4013288
0.262,114.2647488,103.8761611,124.3486822,128.8752717
0.264,111.9959605,105.7756472,124.7510924,127.7739425
0.266,112.656227,105.5501053,125.0745986,130.05562
0.268,112.7124199,105.2188405,125.2008449,130.8507501
0.27,112.6492029,105.7509785,126.7513076,130.4605931
0.272,112.842366,106.1210083,128.0492776,129.8185626
0.274,112.8072455,104.3378173,127.7731137,129.4975474
0.276,113.1584511,104.6655579,127.7731137,130.4210835
0.278,113.1584511,104.9369131,127.1655533,131.7051445
0.28,112.715932,103.9395948,126.4554177,130.9544627
0.282,112.7615887,104.4893533,128.317551,130.5396123
0.284,112.7615887,105.4584788,128.4674685,131.3643745
0.286,112.7615887,105.3457079,127.9230312,131.3149875
0.288,112.7615887,105.4690511,127.4101556,130.0309266
0.29,112.7615887,104.5492629,126.9682934,129.3296317
0.292,112.150491,103.9783598,126.8341567,130.1790874
0.294,112.150491,101.5114948,128.278099,130.5643057
0.296,112.150491,103.9536912,128.637112,130.5643057
0.298,112.3717505,103.3123063,129.0434674,130.6482636
0.3,112.1820995,104.3519137,129.9784792,130.1148844
0.302,111.4551038,105.9025145,130.3217114,129.0826969
0.304,111.2443805,105.3774247,130.4834645,128.593766
0.306,111.0055606,104.2356186,130.5386972,128.8011913
0.308,112.1153704,105.5219125,130.5229164,129.0283713
0.31,112.7686128,104.4435401,130.554478,128.7320495
0.312,112.1680512,104.3413414,130.1481227,127.7936973
0.314,111.7290442,103.4638423,130.4676837,127.5615786
0.316,111.0968741,102.8576983,130.2783142,127.7294942
0.318,111.3040854,103.0409511,130.5899848,127.7443103
0.32,112.5614015,102.5933913,131.4855447,126.9590577
0.322,112.7580767,103.3933604,132.3377073,125.8429124
0.324,111.5429052,103.037427,132.191735,128.4900534
0.326,111.0512174,101.4515853,128.0137708,127.3393373
0.328,112.7861731,104.0276971,126.719746,127.4628047
0.33,110.9739521,104.1933295,131.2685588,126.9294255
0.332,111.1776514,101.3000493,131.3869147,126.450372
0.334,112.3857987,103.4814627,131.311956,127.3986016
0.336,110.9528798,103.4849868,132.1838446,128.188793
0.338,111.2127719,103.3545954,130.274369,127.7541877
0.34,110.8721025,102.8506501,130.9845046,128.5888273
0.342,111.4972485,102.2268857,132.0457627,128.9592295
0.344,110.9774642,102.2268857,132.0142011,129.6605244
0.346,110.9774642,104.0699863,131.8800644,130.0506814
0.348,111.0020486,104.0699863,131.8287768,129.8136239
0.35,111.0020486,103.4250773,131.5013254,129.7099113
0.352,111.1038982,103.033903,131.5407774,129.7099113
0.354,111.1038982,104.0805585,131.0239565,130.0259879
0.356,111.1038982,101.8498078,130.5584232,130.4507157
0.358,113.2216681,103.7633902,127.7888945,129.94203
0.36,112.9758242,102.4418554,128.2149759,129.6654631
0.362,110.9072231,104.5351665,128.7633583,129.5173022
0.364,110.9072231,103.7704384,128.3293866,127.9912451
0.366,110.9072231,102.7766442,128.8580431,127.9369195
0.368,111.216284,103.717577,129.8995752,128.0307547
0.37,113.2392284,103.301734,129.2486176,124.825541
0.372,113.7063319,102.9493247,127.2760188,124.0057175
0.374,113.1830355,103.2664931,129.3196312,124.5193418
0.376,112.842366,102.882367,130.0494927,125.3391654
0.378,113.5377532,97.7830046,130.3927249,126.5689007
0.38,113.6396028,99.0974912,130.874039,127.7838199
0.382,113.6606751,101.0674591,130.7201763,128.3962182
0.384,113.9521758,102.3643253,131.7301469,128.5147469
0.386,114.8056054,101.3423384,132.4323921,128.302383
0.388,114.3244537,102.3326085,132.2035706,127.571456
0.39,115.4131912,100.1864359,131.631517,127.6751686
0.392,113.2041078,103.756342,130.6886147,128.1196512
0.394,113.2954213,101.7581813,131.4973802,128.2727508
0.396,114.0083687,103.2418244,133.8368824,128.1739769
0.398,114.9179912,104.4329678,134.507566,126.8059581
0.4,114.2928452,104.4047751,133.6514581,127.6801073
0.402,114.8091175,103.3686918,133.7777044,128.4999308
0.404,114.7423884,103.1466739,133.9749643,129.6704018
0.406,113.9591999,103.1325776,133.3003355,130.0062331
0.408,115.6204025,102.1070665,133.3003355,130.3223096
0.41,114.1031942,102.2163134,132.2154062,129.3691413
0.412,115.9575599,102.2163134,133.4739242,129.3691413
0.414,116.400079,102.2163134,133.5922802,128.1048351
0.416,116.8461101,103.8479684,134.0380875,130.2729227
0.418,116.4562719,103.8479684,134.1327722,131.5767384
0.42,117.6328107,101.7405609,135.0046609,132.3570524
0.422,115.5115287,101.7405609,136.0225219,132.1891367
0.424,117.1411228,100.8912545,135.0954004,130.267984
0.426,115.7257642,100.8912545,134.846853,128.4604212
0.428,116.3860307,104.5668833,135.8686592,129.7395435
0.43,117.5414972,104.4505883,136.7010958,130.0161105
0.432,117.5344731,104.8840517,135.4741394,131.1371945
0.434,118.4511198,104.0136008,136.4407128,131.0285432
0.436,118.3352219,105.0355877,136.9890953,132.0459145
0.438,118.9673921,102.7942646,136.9969857,132.3422363
0.44,117.4431597,105.1025455,138.2042161,131.4483323
0.442,119.3818147,105.9483277,138.0858602,131.4483323
0.444,118.7847651,105.1554069,138.2831201,130.8112405
0.446,118.9849523,106.9174533,138.9419681,131.3940067
0.448,117.464232,105.9307073,138.9695844,131.275478
0.45,119.0622176,106.4346526,138.9972008,132.801535
0.452,120.0807139,105.04616,139.8296375,134.2386955
